Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1n,C_1812_4532Metric,120,-94,180,bottom
C2,1n,C_1812_4532Metric,126,-106,180,bottom
C3,1n,C_1812_4532Metric,132,-94,180,bottom
C4,1n,C_1812_4532Metric,138,-106,180,bottom
C5,1n,C_1812_4532Metric,144,-94,180,bottom
C6,1n,C_1812_4532Metric,149.8625,-106,180,bottom
C7,1n,C_1812_4532Metric,156,-94,180,bottom
C8,1n,C_1812_4532Metric,162,-106,180,bottom
C9,1n,C_1812_4532Metric,168,-94,180,bottom
C10,1n,C_1812_4532Metric,173.8625,-106,180,bottom
D1,SS34,SMAF,123,-100,270,bottom
D2,SS34,SMAF,129,-99.999999,90,bottom
D3,SS34,SMAF,135,-100,270,bottom
D4,SS34,SMAF,141,-100,90,bottom
D5,SS34,SMAF,147,-100,270,bottom
D6,SS34,SMAF,153,-99.999999,90,bottom
D7,SS34,SMAF,159,-100.000001,270,bottom
D8,SS34,SMAF,165,-100,90,bottom
D9,SS34,SMAF,171,-100,270,bottom
D10,SS34,SMAF,177,-100,90,bottom
R1,33M,R_2512_6332Metric,183,-106,180,bottom
