Designator,Mid X,Mid Y,Layer,Rotation
C1,120.0000mm,-94.0000mm,Bottom,180
C2,126.0000mm,-106.0000mm,Bottom,180
C3,132.0000mm,-94.0000mm,Bottom,180
C4,138.0000mm,-106.0000mm,Bottom,180
C5,144.0000mm,-94.0000mm,Bottom,180
C6,149.8625mm,-106.0000mm,Bottom,180
C7,156.0000mm,-94.0000mm,Bottom,180
C8,162.0000mm,-106.0000mm,Bottom,180
C9,168.0000mm,-94.0000mm,Bottom,180
C10,173.8625mm,-106.0000mm,Bottom,180
D1,123.0000mm,-100.0000mm,Bottom,270
D2,129.0000mm,-100.0000mm,Bottom,90
D3,135.0000mm,-100.0000mm,Bottom,270
D4,141.0000mm,-100.0000mm,Bottom,90
D5,147.0000mm,-100.0000mm,Bottom,270
D6,153.0000mm,-100.0000mm,Bottom,90
D7,159.0000mm,-100.0000mm,Bottom,270
D8,165.0000mm,-100.0000mm,Bottom,90
D9,171.0000mm,-100.0000mm,Bottom,270
D10,177.0000mm,-100.0000mm,Bottom,90
R1,183.0000mm,-106.0000mm,Bottom,180
